id,claim,document_name,document_text,your_label (contradict / consistent / neutral)
rn15,No planning permission has been granted for development on land neighbouring the property.,Local Authority search 2 amended.pdf,"TOWN AND COUNTRY PLANNING ACT 1990. Development permission issued subject to conditions as to user and/or development. Plan No: 5/94/1045, date of registration 9th August 1994; 5/19/3164 allowed on appeal 14th July 2021.",
c07,There are no rights of way or easements affecting the property.,Official copy of register,The land is subject to a right of way on foot and with vehicles over the driveway coloured brown for the benefit of the adjoining property.,
c05,No notices have been received from the local authority in respect of the property.,Local Authority search,An enforcement notice was served in 2018 requiring removal of an unauthorised outbuilding.,
rn18,No guarantees or warranties are held in respect of the property.,Freehold Report on Title 1 amended.pdf,17. Guarantee certificate for boiler. 14. Various guarantees for white goods.,
c04,The property is sold with freehold title.,Official copy of register,Title absolute: leasehold. Term: 125 years from 1 January 2005. Ground rent payable to the freeholder.,
sc13,The seller is not aware of any works carried out by the local authority to adopt the road serving the property.,Local Authority search,A Section 38 Agreement is in place; the road is currently unadopted and maintenance remains a private responsibility pending completion of adoption works.,
n07,The seller is not aware of any Japanese knotweed.,Drainage and water search,Surface water drains to the public sewer. The water supply is metered.,
n02,There have been no disputes relating to the property.,Drainage and water search,The property is connected to the public foul sewer. A public sewer crosses the rear of the title.,
sc08,The property is sold with vacant possession and all occupiers aged 17 or over have agreed to leave prior to completion.,Tenancy search,"An assured shorthold tenancy is registered at this address, current term expiring after the proposed completion date.",
e01,A single-storey rear extension was built in 2016 and the completion certificate is enclosed.,Building control search,Full plans application for a single-storey rear extension approved 2016; completion certificate issued 2016.,
n08,No planning applications affect neighbouring land.,Official copy of register,The title includes the registered plan. There are no entries in the charges register other than a legal mortgage.,
se12,The property benefits from mains electricity and mains water.,Utilities search,Mains electricity and mains water are confirmed connected at this address; supplier details on file.,
c09,No planning permission has been granted for development on neighbouring land.,Local Authority search,Planning permission granted in 2022 for the erection of four dwellings on the adjoining field to the north.,
e05,The property has flooded in the past.,Environmental search,Historic surface-water flooding has been recorded affecting the property in prior years.,
rn16,The seller has not received any notices from the local authority in respect of the property.,Local Authority search 2 amended.pdf,It is hereby certified that the search requested above reveals the SEVEN registrations described in the Schedule up to and including the date of the certificate.,
sc04,The whole electrical installation was tested by a qualified electrician and a test certificate is available.,Electrical search,No Electrical Installation Condition Report or BS7671 certificate is held for this address; last known test predates current records.,
sc01,The property is not subject to a Tree Preservation Order.,Local Authority search,TPO/2019/0087 protects a mature oak tree within the curtilage of the property; consent required before works to the canopy or roots.,
rc01,"Parking at the property is provided on the drive, as stated by the seller.",Survey extract,No off-street parking is available at the property; on-street permit parking only.,
e07,No guarantees or warranties are held for the property.,Report on title,The seller has confirmed that no guarantees or warranties are held in respect of the property.,
rn13,There have been no disputes or complaints affecting the property.,REPORT ON TITLE 4 amended.pdf,The Property is a freehold house. The Freehold title for the Property is registered in the name of the seller under title number at HM Land Registry. The Seller's Title is registered at HM Land Registry with TITLE ABSOLUTE.,
n06,There are no rights of way affecting the property.,Environmental search,Ground stability: no significant risk identified. Radon: the property is not in a radon affected area.,
sc03,"The seller does not have to pay any charges relating to the property, such as payments to a management company.",Report on title,An annual estate charge of £240 is payable to Greenfield Estate Management Company Ltd in respect of the upkeep of communal areas.,
c01,"No alterations, extensions or other works have been carried out at the property.",Local planning record,"Application 19/0421/HH: erection of a single-storey rear extension. Decision: Granted, 2019.",
se13,No Tree Preservation Order affects the property.,Local Authority search,No Tree Preservation Orders are recorded against this property or trees within its boundary.,
